latitude,longitude,status,detected_at,source,copernicus_product_id,validation_status,notes
31.3663457433,32.9226702353,Oil spill,2019-03-18T15:47:45Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190318T154810_20190318T154835_015411_01CDBD_41F5.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.5693818788,33.7947477491,Oil spill,2019-03-19T03:50:39Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190319T035039_20190319T035104_015418_01CDFB_172B.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.6378331610,32.1461287858,Oil spill,2019-03-19T03:50:39Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190319T035104_20190319T035129_015418_01CDFB_86C8.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.1428240039,31.3596493272,Oil spill,2019-03-19T03:50:39Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190319T035129_20190319T035154_015418_01CDFB_0728.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.8665631997,34.7496383197,Oil spill,2019-03-19T15:40:07Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190319T154057_20190319T154122_026409_02F495_3769.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.9879747259,35.3444194834,Oil spill,2019-03-19T15:40:07Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190319T154122_20190319T154147_026409_02F495_4D5C.SAFE;S1A_IW_GRDH_1SDV_20190319T154057_20190319T154122_026409_02F495_3769.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.3418865131,33.4977181500,Oil spill,2019-03-20T03:42:57Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190320T034322_20190320T034347_026416_02F4D4_B411.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.4991474943,32.7445387843,Oil spill,2019-03-20T03:42:57Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190320T034412_20190320T034437_026416_02F4D4_1A96.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.6909997898,35.8301549146,Oil spill,2019-03-20T15:31:27Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190320T153217_20190320T153242_015440_01CEAD_0499.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.7746752363,31.9189129758,Oil spill,2019-03-23T15:56:09Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190323T155609_20190323T155634_015484_01D019_131C.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.4804355554,31.4323252019,Oil spill,2019-03-23T15:56:40Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190323T155640_20190323T155709_015484_01D01A_DA9D.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.3117973355,32.3268335580,Oil spill,2019-03-24T15:48:36Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190324T154901_20190324T154926_026482_02F74C_6168.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.5173782197,30.9570239660,Oil spill,2019-03-25T03:51:17Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190325T035207_20190325T035232_026489_02F78B_61BC.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.2849352487,31.6949808373,Oil spill,2019-03-25T03:51:17Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190325T035142_20190325T035207_026489_02F78B_D467.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.4062358481,32.3543744407,Oil spill,2019-03-29T15:56:37Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190329T155702_20190329T155727_026555_02F9F6_EC3A.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.8927484365,33.3533236369,Oil spill,2019-03-30T15:47:45Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190330T154835_20190330T154900_015586_01D376_146D.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.6384326231,33.3515765136,Oil spill,2019-04-01T03:42:57Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190401T034322_20190401T034347_026591_02FB4C_1C41.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.8215320064,32.1550643993,Oil spill,2019-04-04T15:56:10Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190404T155610_20190404T155635_015659_01D5E2_CCBC.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.5743124460,31.4711014789,Oil spill,2019-04-05T03:58:50Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190405T035850_20190405T035915_015666_01D628_CFEF.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
